[attractor-pool] building size=16 dim=40 spinup_steps=20 seed=42
[attractor-pool] spinup 2/20
[attractor-pool] spinup 4/20
[attractor-pool] spinup 6/20
[attractor-pool] spinup 8/20
[attractor-pool] spinup 10/20
[attractor-pool] spinup 12/20
[attractor-pool] spinup 14/20
[attractor-pool] spinup 16/20
[attractor-pool] spinup 18/20
[attractor-pool] spinup 20/20
[attractor-pool] ready
difficulty trajectories per batch: 0:1, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1
Epoch   0 | RMSE 0.5860 | ES 0.4446 | NLL 0.9090 | mean_MSE 0.3777 | objective 0.6110
Epoch 140 | RMSE 0.2627 | ES 0.2382 | NLL -0.5080 | mean_MSE 0.0695 | objective 0.2013
Epoch 141 | RMSE 0.2584 | ES 0.2342 | NLL -0.4823 | mean_MSE 0.0674 | objective 0.1995
Epoch 142 | RMSE 0.2887 | ES 0.2513 | NLL -0.5193 | mean_MSE 0.0837 | objective 0.2161
Epoch 143 | RMSE 0.3268 | ES 0.2768 | NLL -0.1647 | mean_MSE 0.1082 | objective 0.2820
Epoch 144 | RMSE 0.3121 | ES 0.2670 | NLL -0.0115 | mean_MSE 0.0990 | objective 0.2857
Epoch 145 | RMSE 0.2757 | ES 0.2449 | NLL -0.4465 | mean_MSE 0.0761 | objective 0.2155
Epoch 146 | RMSE 0.2765 | ES 0.2427 | NLL -0.3574 | mean_MSE 0.0771 | objective 0.2223
Epoch 147 | RMSE 0.2676 | ES 0.2391 | NLL -0.4051 | mean_MSE 0.0718 | objective 0.2129
Epoch 148 | RMSE 0.3465 | ES 0.2802 | NLL -0.1903 | mean_MSE 0.1223 | objective 0.2856
Epoch 149 | RMSE 0.2802 | ES 0.2481 | NLL -0.4479 | mean_MSE 0.0790 | objective 0.2192
